City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,draganesti-olt,44.1667,24.5333,13.93,93,100,2.29,RO,1699054294
83,aasiaat,68.7098,-52.8699,-3.96,88,100,2.68,GL,1699054295
84,hobyo,5.3505,48.5268,26.9,82,67,3.13,SO,1699054295
85,zhob,31.3411,69.4481,13.5,32,84,0.71,PK,1699054295
86,avarua,-21.2078,-159.775,24.03,64,75,7.2,CK,1699053995
87,vila do maio,15.1333,-23.2167,26.44,80,47,7.93,CV,1699054296
88,cicero dantas,-10.6,-38.3833,24.54,74,93,3.9,BR,1699054296
89,thompson,55.7435,-97.8558,-8.91,73,40,4.63,CA,1699053969
90,turpan,42.9333,89.1667,9.54,37,12,4.01,CN,1699054298
91,ushuaia,-54.8,-68.3,6.81,57,75,4.63,AR,1699053889
92,ola,59.5833,151.2833,0.08,78,100,13.08,RU,1699054298
93,kosciusko,33.0576,-89.5876,13.79,32,0,1.61,US,1699054157
94,dombarovskiy,50.7587,59.5386,6.67,78,100,2.24,RU,1699054299
95,columbia,34.0007,-81.0348,13.0,49,0,0.0,US,1699054299
96,ketchikan,55.3422,-131.6461,9.26,100,100,0.0,US,1699054300
97,new norfolk,-42.7826,147.0587,13.84,44,34,1.45,AU,1699054300
98,sungai penuh,-2.0833,101.3833,19.63,91,42,0.83,ID,1699054300
99,nemuro,43.3236,145.575,10.31,85,100,5.65,JP,1699054023
100,mocimboa,-11.3167,40.35,25.07,78,100,4.74,MZ,1699054301
101,dunedin,-45.8742,170.5036,13.78,79,100,1.34,NZ,1699054211
102,invercargill,-46.4,168.35,13.9,77,100,5.81,NZ,1699054006
103,codrington,-38.2667,141.9667,13.68,53,97,7.77,AU,1699054301
104,fuerte olimpo,-21.0415,-57.8738,19.34,75,78,1.33,PY,1699054302
105,bredasdorp,-34.5322,20.0403,15.79,86,4,5.7,ZA,1699053968
106,dickinson,29.4608,-95.0513,22.31,78,0,4.12,US,1699054302
107,galesong,-5.3166,119.3661,26.01,70,74,2.61,ID,1699054065
108,iqaluit,63.7506,-68.5145,-2.15,64,75,8.23,CA,1699053961
109,alaghsas,17.0187,8.0168,25.4,17,1,4.91,NE,1699054303
110,westport,41.1415,-73.3579,12.11,65,0,6.69,US,1699054033
111,tchintabaraden,15.8969,5.7985,27.3,15,94,3.51,NE,1699054303
112,tommot,58.9564,126.2925,-16.21,94,100,3.41,RU,1699054304
113,xuanzhou,30.9525,118.7553,20.55,65,88,0.39,CN,1699054304
114,howard springs,-12.497,131.047,31.01,73,9,1.7,AU,1699054304
115,nantucket,41.2835,-70.0995,10.56,68,0,7.2,US,1699054229
116,st. john's,47.5649,-52.7093,4.43,83,75,3.09,CA,1699053861
117,yellowknife,62.456,-114.3525,-6.44,98,100,4.63,CA,1699053906
118,rio grande,-32.035,-52.0986,16.06,89,76,12.51,BR,1699054066
119,muynoq,43.7683,59.0214,11.46,36,100,2.56,UZ,1699054305
120,jammu,32.7333,74.8667,17.24,37,0,1.88,IN,1699054306
121,parkano,62.0167,23.0167,3.09,98,100,4.94,FI,1699054306
122,kalaleh,37.3807,55.4916,19.13,38,25,2.87,IR,1699054306
123,romanovskaya,47.5426,42.0285,13.33,68,100,3.13,RU,1699054307
124,beyneu,45.3167,55.2,10.59,50,26,4.1,KZ,1699054307
125,kirensk,57.7853,108.1119,-15.58,83,48,0.89,RU,1699054307
126,zuera,41.8677,-0.7898,7.73,66,75,0.34,ES,1699054307
127,saudarkrokur,65.7461,-19.6394,1.11,91,100,2.68,IS,1699054307
128,port alfred,-33.5906,26.891,16.21,93,100,1.79,ZA,1699054050
129,portland,45.5234,-122.6762,18.28,76,100,1.54,US,1699053692
130,brokopondo,4.75,-55.1667,27.14,78,37,5.35,SR,1699054308
131,happy valley-goose bay,53.3168,-60.3315,2.17,64,40,4.12,CA,1699053975
132,lompoc,34.6391,-120.4579,30.43,25,0,5.14,US,1699054035
133,walvis bay,-22.9575,14.5053,16.16,88,10,2.06,NA,1699054042
134,praia da vitoria,38.7333,-27.0667,18.2,88,75,10.71,PT,1699053860
135,santa rosa,14.3122,121.1114,29.48,84,28,2.31,PH,1699054063
136,kristiansund,63.1115,7.732,8.03,53,75,5.66,NO,1699054309
137,nybro,56.7446,15.9071,8.47,96,100,1.7,SE,1699054309
138,puerto maldonado,-12.6,-69.1833,25.22,78,75,0.0,PE,1699054002
139,ujae,8.9322,165.7642,28.36,71,98,7.36,MH,1699054310
140,ciudad lazaro cardenas,17.9583,-102.2,27.67,83,43,1.97,MX,1699054251
141,vorgashor,67.5833,63.95,-8.06,95,100,6.94,RU,1699053991
142,port macquarie,-31.4333,152.9167,22.16,75,55,3.38,AU,1699054311
143,keflavik,64.0049,-22.5624,3.24,75,0,7.72,IS,1699053998
144,nova sintra,14.8667,-24.7167,24.11,77,34,9.56,CV,1699053969
145,lebu,-37.6167,-73.65,10.86,80,5,7.16,CL,1699054006
146,badger,64.8,-147.5333,-3.07,63,100,6.69,US,1699053989
147,san angelo,31.4638,-100.437,23.36,48,0,5.66,US,1699054209
148,santa elena de uairen,4.6167,-61.1333,22.67,76,100,0.86,VE,1699054060
149,zheleznodorozhnyy,55.7503,38.0042,2.23,82,8,4.02,RU,1699054312
150,mount pearl,47.5166,-52.7813,4.62,84,75,3.09,CA,1699054198
151,wailua homesteads,22.0669,-159.378,28.75,65,0,5.14,US,1699053974
152,plettenberg bay,-34.0527,23.3716,16.94,77,77,4.9,ZA,1699054313
153,ulsteinvik,62.3432,5.8487,10.07,63,100,3.93,NO,1699054002
154,wanning,18.8003,110.3967,24.66,86,37,2.17,CN,1699054055
155,divo,5.8397,-5.36,22.56,99,62,1.0,CI,1699054313
156,namibe,-15.1961,12.1522,19.76,79,7,1.64,AO,1699053966
157,vilyuchinsk,52.9306,158.4028,4.96,88,100,1.17,RU,1699053986
158,bandarbeyla,9.4942,50.8122,26.37,84,43,5.51,SO,1699054314
159,navlya,52.8281,34.4989,6.31,74,48,5.07,RU,1699054314
160,isafjordur,66.0755,-23.124,3.19,86,98,8.95,IS,1699053988
161,tazovsky,67.4667,78.7,-7.31,94,100,9.15,RU,1699054018
162,bodaybo,57.8506,114.1933,-24.84,99,51,0.3,RU,1699054315
163,weno,7.4515,151.8468,29.97,79,40,2.06,FM,1699053963
164,monrovia,6.3005,-10.7969,26.03,86,87,3.34,LR,1699054315
165,mhamid,29.82,-5.72,22.48,28,0,1.38,MA,1699054315
166,eyl,7.9803,49.8164,26.31,84,30,4.8,SO,1699054316
167,sanctuary point,-35.1114,150.629,19.3,81,100,2.94,AU,1699054316
168,amga,60.8953,131.9608,-25.62,99,100,1.12,RU,1699054316
169,comodoro rivadavia,-45.8667,-67.5,11.92,54,0,5.66,AR,1699054316
170,gunjur,13.2019,-16.7339,27.04,94,40,2.57,GM,1699054317
171,tazoult-lambese,35.4817,6.2607,8.53,82,100,3.42,DZ,1699054317
172,matheran,18.9833,73.2667,24.15,48,45,1.85,IN,1699054317
173,san antonio de pale,-1.4014,5.6325,26.21,85,100,4.16,GQ,1699054013
174,fale old settlement,-9.3852,-171.2468,26.95,81,100,9.18,TK,1699054076
175,floro,61.5996,5.0328,10.98,54,75,9.77,NO,1699054318
176,kapa'a,22.0752,-159.319,29.15,65,0,5.14,US,1699054318
177,sur,22.5667,59.5289,25.63,62,92,4.06,OM,1699054009
178,jamestown,42.097,-79.2353,13.77,32,0,5.14,US,1699053730
179,shalkar,47.8288,59.6258,8.3,56,96,1.93,KZ,1699054319
180,kruisfontein,-34.0033,24.7314,16.44,78,53,5.53,ZA,1699053994
181,taroa,8.7058,171.2275,28.28,79,100,6.58,MH,1699054319
182,qaqortoq,60.7167,-46.0333,-0.61,75,100,0.82,GL,1699053966
183,labrador city,52.9463,-66.9114,-0.05,93,100,6.69,CA,1699054320
184,cabedelo,-6.9811,-34.8339,26.37,81,62,5.99,BR,1699054320
185,barcelos,41.5388,-8.6151,17.08,93,100,8.27,PT,1699054284
186,askoy,60.4092,5.226,11.16,46,40,5.14,NO,1699054320
187,kerikeri,-35.2268,173.9474,22.17,70,7,0.45,NZ,1699054034
188,lipnik nad becvou,49.5272,17.5859,7.19,87,100,5.02,CZ,1699054321
189,dhidhdhoo,6.8833,73.1,27.74,74,69,1.65,MV,1699054022
190,sitka,57.0531,-135.33,9.94,87,100,2.06,US,1699054022
191,bolobo,-2.1667,16.2333,21.63,96,100,1.2,CD,1699054322
192,tidjikja,18.5564,-11.4271,27.2,17,0,4.91,MR,1699054322
193,whitehorse,60.7161,-135.0538,2.43,90,75,7.2,CA,1699053972
194,tamluk,22.3,87.9167,22.91,90,63,2.18,IN,1699054322
195,la passe,45.5549,-0.8967,12.77,74,100,7.18,FR,1699054323
196,richards bay,-28.783,32.0377,19.29,80,100,7.34,ZA,1699054011
197,amos,48.5669,-78.1162,1.4,97,100,4.35,CA,1699054324
198,olonkinbyen,70.9221,-8.7187,1.36,80,100,4.39,SJ,1699054005
199,polyarnyy,69.1989,33.4478,-8.83,93,27,2.26,RU,1699054325
200,hammerfest,70.6634,23.6821,-2.75,86,40,1.54,NO,1699054325
201,ust-nera,64.5667,143.2,-20.67,100,94,2.03,RU,1699054007
202,nikolayevsk-on-amure,53.1406,140.73,-9.56,53,39,7.23,RU,1699054063
203,saurimo,-9.6608,20.3916,18.08,96,33,0.29,AO,1699054326
204,chunskiy,56.0815,99.6342,-12.96,80,19,0.75,RU,1699054326
205,puerto rico,-26.796,-55.024,12.75,89,54,1.01,AR,1699054327
206,aden,12.7794,45.0367,27.32,74,83,5.22,YE,1699054148
207,maceio,-9.6658,-35.7353,25.69,94,20,4.12,BR,1699054172
208,christchurch,-43.5333,172.6333,19.67,67,20,6.69,NZ,1699054074
209,ekibastuz,51.6667,75.3667,2.86,90,100,4.25,KZ,1699054328
210,kandi,11.1342,2.9386,25.43,36,1,1.86,BJ,1699054329
211,bereznik,62.8551,42.7072,-6.32,98,93,0.93,RU,1699054027
212,winnemucca,40.973,-117.7357,21.03,30,0,1.54,US,1699054329
213,i-n-salah,27.1935,2.4607,26.86,12,0,2.82,DZ,1699054329
214,volokolamsk,56.0336,35.9694,1.06,88,3,3.72,RU,1699054131
215,fort mcmurray,56.7268,-111.381,-2.23,80,100,1.54,CA,1699053761
216,las khorey,11.1595,48.1967,26.7,85,82,3.36,SO,1699054027
217,makushino,55.2103,67.2442,4.21,94,65,4.85,RU,1699054330
218,belmonte,-15.8631,-38.8828,25.83,87,79,5.74,BR,1699054331
219,nema,57.5067,50.5011,-3.08,91,14,2.03,RU,1699054331
220,kone,-21.0595,164.8658,27.32,54,88,1.85,NC,1699054332
221,priargunsk,50.3691,119.1012,-12.57,65,99,0.78,RU,1699054332
222,axim,4.8699,-2.2405,25.76,89,40,3.68,GH,1699054293
223,sisimiut,66.9395,-53.6735,-4.72,86,95,4.5,GL,1699054017
224,tofol,5.3248,163.0078,27.88,83,100,1.54,FM,1699054053
225,kodiak,57.79,-152.4072,7.73,93,100,5.66,US,1699054014
226,machico,32.7,-16.7667,20.4,84,40,2.57,PT,1699054334
227,constantia,44.1833,28.65,15.39,81,72,7.18,RO,1699053846
228,grand falls-windsor,48.9332,-55.6649,2.5,87,99,3.26,CA,1699054334
229,ribeira grande,38.5167,-28.7,17.1,83,100,2.68,PT,1699053982
230,iskateley,67.6803,53.1512,-4.43,95,20,4.92,RU,1699054047
231,ancud,-41.8697,-73.8203,10.24,79,94,3.25,CL,1699054070
232,merrill,45.1805,-89.6835,6.87,84,72,3.44,US,1699054335
233,klaksvik,62.2266,-6.589,8.51,87,100,8.71,FO,1699054336
234,mao,39.8885,4.2658,17.31,45,54,6.69,ES,1699054336
235,armacao de buzios,-22.7469,-41.8817,24.74,87,0,9.52,BR,1699054159
236,mahibadhoo,3.7833,72.9667,27.55,78,96,4.52,MV,1699054337
237,raduzhny,62.0961,77.475,-3.95,94,100,7.82,RU,1699054337
238,waverly,42.7392,-84.6208,12.3,45,100,9.77,US,1699054060
239,alvear,-29.0968,-56.5504,13.95,73,81,5.79,AR,1699054337
240,moyynkum,44.2914,72.9469,10.36,77,46,7.49,KZ,1699054338
241,margaret river,-33.95,115.0667,18.11,58,34,3.6,AU,1699053982
242,sikonge,-5.6333,32.7667,20.8,73,100,1.23,TZ,1699054338
243,uturoa,-16.7333,-151.4333,26.2,79,49,7.59,PF,1699054023
244,carbonear,47.7332,-53.2148,5.34,87,100,4.16,CA,1699054339
245,la sarre,48.8002,-79.1996,-0.08,93,100,4.06,CA,1699054339
246,serowe,-22.3833,26.7167,17.23,56,81,5.32,BW,1699054340
247,san antonio oeste,-40.7319,-64.9477,16.88,32,14,5.16,AR,1699054340
248,antsiranana,-12.2787,49.2917,24.31,89,52,3.91,MG,1699054282
249,tura,25.5198,90.2201,19.03,81,0,1.36,IN,1699054340
250,arraial do cabo,-22.9661,-42.0278,24.52,88,0,11.29,BR,1699053891
251,barra,-11.0894,-43.1417,27.15,68,90,1.86,BR,1699054341
252,tiksi,71.6872,128.8694,-17.44,96,99,3.62,RU,1699053973
253,tralee,52.2704,-9.7026,7.18,89,99,3.14,IE,1699054021
254,prado,-17.3411,-39.2208,25.67,85,59,6.69,BR,1699054342
255,kuta,-8.7233,115.1723,25.97,94,75,0.51,ID,1699053964
256,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,64,75,6.26,RU,1699054057
257,road town,18.4167,-64.6167,28.02,78,40,6.69,VG,1699054065
258,haiku-pauwela,20.9219,-156.3051,28.98,66,40,8.23,US,1699054017
259,hithadhoo,-0.6,73.0833,27.04,82,48,6.31,MV,1699054021
260,teknaf,20.8624,92.3058,23.0,83,5,1.75,BD,1699054343
261,baturaja,-4.1333,104.1667,26.05,82,71,0.8,ID,1699054343
262,mejit,10.2753,170.8646,27.72,81,30,8.49,MH,1699054000
263,kyelang,32.5833,77.0333,-9.74,67,2,3.09,IN,1699054344
264,manokwari,-0.8667,134.0833,26.83,82,100,0.81,ID,1699054344
265,asau,46.4333,26.4,12.51,74,100,1.52,RO,1699054344
266,kongolo,-5.3833,27.0,19.3,99,98,0.39,CD,1699054345
267,mollendo,-17.0231,-72.0147,18.22,79,55,1.17,PE,1699054345
268,malango,-2.9627,119.9001,21.28,90,98,0.39,ID,1699053984
269,mumbwa,-14.9783,27.0619,19.81,53,39,3.2,ZM,1699054346
270,kainantu,-6.2887,145.8655,20.26,80,100,1.86,PG,1699054346
271,gejiu,23.306,103.1635,11.53,95,37,1.59,CN,1699054346
272,selma,36.5708,-119.6121,26.86,29,0,0.0,US,1699054343
273,takai,11.5833,9.1167,24.53,28,54,3.19,NG,1699054347
274,villamontes,-21.25,-63.5,17.91,63,100,2.04,BO,1699054347
275,vadso,70.0744,29.7487,-5.91,79,20,6.17,NO,1699054007
276,holualoa,19.6228,-155.9522,26.91,78,40,4.63,US,1699053736
277,okoneshnikovo,54.8377,75.0834,-0.4,89,100,7.12,RU,1699054348
278,carnarvon,-24.8667,113.6333,20.92,86,59,2.01,AU,1699053995
279,utrik,11.2278,169.8474,27.69,81,37,8.72,MH,1699053999
280,camabatela,-8.1881,15.375,16.94,100,80,1.05,AO,1699054349
281,port sudan,19.6175,37.2164,28.45,73,19,1.44,SD,1699054349
282,mambajao,9.2504,124.7156,28.14,80,83,3.45,PH,1699054350
283,bardai,11.65,7.2333,23.87,28,43,2.83,NG,1699054350
284,murray,40.6669,-111.888,18.74,44,0,3.6,US,1699054118
285,salinopolis,-0.6136,-47.3561,27.76,79,40,6.27,BR,1699054034
286,magnitogorsk,53.4186,59.0472,7.46,70,100,5.0,RU,1699054351
287,ilek,51.5271,53.3831,4.99,90,74,3.17,RU,1699054352
288,acapulco de juarez,16.8634,-99.8901,28.6,77,65,3.4,MX,1699053741
289,veinticinco de mayo,-35.4323,-60.1727,11.1,86,30,1.27,AR,1699054352
290,nuuk,64.1835,-51.7216,-0.66,86,100,2.06,GL,1699053730
291,ierapetra,35.01,25.7353,21.75,82,23,4.08,GR,1699054353
292,kuraymah,18.55,31.85,26.79,26,3,4.17,SD,1699054353
293,alo,7.4178,6.7371,24.4,93,100,1.79,NG,1699054353
294,horta,38.5333,-28.6333,16.68,83,99,2.68,PT,1699054015
295,campbell river,50.0163,-125.2446,10.89,100,100,4.12,CA,1699054345
296,el porvenir,13.7617,-87.3458,22.63,82,100,2.35,HN,1699054354
297,lazaro cardenas,17.9583,-102.2,28.6,79,50,2.8,MX,1699053869
298,san patricio,28.017,-97.5169,25.3,58,60,5.31,US,1699054059
299,lerwick,60.1545,-1.1494,8.0,84,100,4.04,GB,1699054355
300,puerto deseado,-47.7503,-65.8938,8.81,68,51,8.06,AR,1699054295
301,zeya,53.75,127.2667,-14.73,52,11,1.49,RU,1699054355
302,luanda,-8.8368,13.2343,25.0,88,75,2.06,AO,1699054271
303,santa cruz,-17.8,-63.1667,23.03,46,75,7.72,BO,1699054356
304,linares,-35.85,-71.6,13.5,78,5,2.26,CL,1699054356
305,mukalla,14.5425,49.1242,25.29,76,88,1.94,YE,1699054356
306,gadzhiyevo,69.2551,33.3362,-8.83,93,31,2.3,RU,1699053980
307,tuzantla,19.2029,-100.5668,27.66,77,54,0.45,MX,1699054357
308,sidney,-33.8679,151.2073,22.2,68,51,0.89,AU,1699054199
309,dalnegorsk,44.5604,135.5701,-2.49,26,61,2.63,RU,1699054357
310,meadow lake,34.8014,-106.5436,22.44,20,4,0.97,US,1699054358
311,jand,33.4299,72.0193,20.19,41,1,0.49,PK,1699054358
312,berezovyy,51.6667,135.7,-10.37,39,0,5.82,RU,1699054358
313,acajutla,13.5928,-89.8275,27.02,74,98,3.11,SV,1699054222
314,manismata,-2.4667,111.0333,24.17,97,100,0.63,ID,1699054359
315,mersa matruh,31.3525,27.2453,21.11,56,0,0.0,EG,1699054359
316,bethanie,-26.4833,17.15,17.47,39,28,1.86,NA,1699054360
317,guerrero negro,27.9769,-114.0611,25.84,35,0,5.71,MX,1699054029
318,ciudad melchor muzquiz,27.8833,-101.5167,19.63,49,2,3.61,MX,1699054360
319,santa rosalia,27.3167,-112.2833,26.32,34,0,2.9,MX,1699054360
320,kabinda,-6.1333,24.4833,18.9,99,100,1.24,CD,1699054361
321,suva,-18.1416,178.4415,30.71,70,75,5.14,FJ,1699054361
322,guiglo,6.5456,-7.4966,23.05,97,90,1.33,CI,1699054361
323,saldanha,-33.0117,17.9442,15.03,87,65,3.75,ZA,1699053973
324,fortuna,40.5982,-124.1573,23.29,83,20,4.63,US,1699054021
325,kavieng,-2.5744,150.7967,28.79,72,99,3.64,PG,1699054362
326,chonchi,-42.6128,-73.8092,11.18,78,100,1.05,CL,1699053991
327,sumbuya,7.6467,-11.9611,24.06,97,61,1.27,SL,1699054362
328,ca mau,9.1769,105.15,25.61,93,100,1.67,VN,1699054362
329,vilyuysk,63.7553,121.6247,-24.92,100,97,1.08,RU,1699054363
330,zouerate,22.7187,-12.4521,22.98,34,0,3.44,MR,1699054363
331,el calafate,-50.3408,-72.2768,8.77,61,65,2.83,AR,1699054363
332,santyoku,37.4406,129.1708,14.86,90,100,4.23,KR,1699054363
333,boa vista,2.8197,-60.6733,31.99,55,40,2.06,BR,1699054364
334,villa canas,-34.0057,-61.6076,14.97,76,3,1.47,AR,1699054364
335,otjiwarongo,-20.4637,16.6477,18.82,38,81,2.98,NA,1699054364
336,san juan de miraflores,-12.1629,-76.9635,19.54,79,62,3.46,PE,1699054365
337,inarajan village,13.2736,144.7484,30.55,86,97,7.61,GU,1699054365
338,maxixe,-23.8597,35.3472,20.11,67,94,3.2,MZ,1699054365
339,bom jardim,-7.7958,-35.5872,22.76,81,59,2.06,BR,1699054366
340,illapel,-31.6308,-71.1653,19.89,43,0,0.73,CL,1699054366
341,rikaze,29.25,88.8833,-1.4,47,52,1.4,CN,1699054366
342,udachny,66.4167,112.4,-24.2,75,96,1.3,RU,1699053968
343,alice springs,-23.7,133.8833,25.75,17,85,8.23,AU,1699054367
344,dryden,49.7833,-92.7503,-4.84,68,0,3.09,CA,1699054367
345,lengshuitan,26.4111,111.5956,19.56,62,98,2.75,CN,1699054367
346,angaur state,6.906,134.13,28.76,73,90,3.53,PW,1699054367
347,el alto,-4.2714,-81.2147,22.81,80,7,8.07,PE,1699054071
348,al muwayh,22.4333,41.7583,22.91,42,68,2.66,SA,1699054368
349,al mijlad,11.0333,27.7333,30.73,37,99,2.18,SD,1699054072
350,enewetak,11.3474,162.3373,27.76,79,82,6.8,MH,1699053679
351,betare oya,5.6,14.0833,19.56,98,100,1.44,CM,1699054368
352,ishigaki,24.3448,124.1572,27.07,74,75,5.14,JP,1699054368
353,quellon,-43.1167,-73.6167,10.57,81,100,3.61,CL,1699054011
354,lorengau,-2.0226,147.2712,27.84,79,99,1.54,PG,1699054369
